Time,Observation,Reward,Action
20180912-140105,"[0.         0.0058651  0.         0.00782014 0.         0.00097752
 0.         0.00097752 0.         0.00977517 0.         0.00391007
 0.         0.00782014 0.         0.00488759 0.         0.00293255
 0.         0.00195503 0.         0.00488759 0.         0.0058651
 0.         0.00684262 0.         0.028348   0.         0.00782014
 0.         0.00879765 0.         0.01270772 0.         0.00684262
 0.         0.01564027 0.         0.00488759 0.         0.00293255
 0.         0.00488759 0.         0.00977517 0.         0.0058651
 0.         0.00488759 0.         0.01270772 0.         0.01075269
 0.         0.00293255 0.         0.01564027 0.         0.00977517
 0.         0.0058651  0.         0.00488759 0.         0.00391007
 0.         0.00684262 0.         0.01270772 0.         0.00293255
 0.         0.00391007 0.         0.06353861 0.         0.01075269
 0.         0.00488759 0.         0.00488759 0.         0.00293255
 0.         0.00391007 0.         0.01857283 0.         0.00195503
 0.         0.00097752 0.         0.01368524 0.         0.00488759]",0.10043988269794717,[]
20180912-140107,"[0.         0.02248289 0.         0.01564027 0.         0.00879765
 0.         0.00195503 0.         0.00977517 0.         0.00684262
 0.         0.01075269 0.         0.00391007 0.         0.00488759
 0.         0.00488759 0.         0.00488759 0.         0.00977517
 0.         0.02150538 0.         0.01564027 0.         0.01173021
 0.         0.00195503 0.         0.00488759 0.         0.00488759
 0.         0.01173021 0.         0.00391007 0.         0.01173021
 0.         0.00097752 0.         0.0058651  0.         0.00488759
 0.         0.01759531 0.         0.01075269 0.         0.00879765
 0.         0.00488759 0.         0.00977517 0.         0.00684262
 0.         0.00977517 0.         0.01368524 0.         0.00391007
 0.         0.0058651  0.         0.01075269 0.         0.0058651
 0.         0.01173021 0.         0.00391007 0.         0.00195503
 0.         0.00293255 0.         0.00977517 0.         0.00097752
 0.         0.00782014 0.         0.00097752 0.         0.00293255
 0.         0.0058651  0.         0.00391007 0.         0.00293255]",0.09213098729227757,[]
20180912-140109,"[0.         0.01564027 0.         0.03323558 0.         0.00195503
 0.         0.00684262 0.         0.00977517 0.         0.01857283
 0.         0.01368524 0.         0.00195503 0.         0.00488759
 0.         0.0058651  0.         0.00391007 0.         0.00879765
 0.         0.02052786 0.         0.02639296 0.         0.00195503
 0.         0.00391007 0.         0.01173021 0.         0.01857283
 0.         0.01466276 0.         0.0058651  0.         0.00684262
 0.         0.01857283 0.         0.00488759 0.         0.00488759
 0.         0.00977517 0.         0.00391007 0.         0.
 0.         0.00293255 0.         0.01173021 0.         0.01857283
 0.         0.00879765 0.         0.00488759 0.         0.00293255
 0.         0.00684262 0.         0.00488759 0.         0.00293255
 0.         0.00488759 0.         0.00684262 0.         0.00488759
 0.         0.00488759 0.         0.01075269 0.         0.00782014
 0.         0.01270772 0.         0.00293255 0.         0.00195503
 0.         0.00782014 0.         0.00195503 0.         0.00879765]",0.10459433040078196,[]
20180912-140111,"[0.         0.01173021 0.         0.03128055 0.         0.01270772
 0.         0.00391007 0.         0.01759531 0.         0.01075269
 0.         0.00782014 0.         0.00391007 0.         0.01759531
 0.         0.00195503 0.         0.00488759 0.         0.01075269
 0.         0.01173021 0.         0.03128055 0.         0.01368524
 0.         0.00391007 0.         0.00879765 0.         0.0058651
 0.         0.00488759 0.         0.00391007 0.         0.00097752
 0.         0.         0.         0.00488759 0.         0.00782014
 0.         0.00684262 0.         0.10654936 0.         0.01368524
 0.         0.01075269 0.         0.01075269 0.         0.00977517
 0.         0.01368524 0.         0.00391007 0.         0.01173021
 0.         0.         0.         0.00684262 0.         0.00684262
 0.         0.00195503 0.         0.00684262 0.         0.01075269
 0.         0.00097752 0.         0.00391007 0.         0.00391007
 0.         0.00488759 0.         0.00391007 0.         0.00195503
 0.         0.         0.         0.00684262 0.         0.00097752]",0.1202346041055718,[]
20180912-140113,"[0.         0.00488759 0.         0.00879765 0.         0.01075269
 0.         0.01759531 0.         0.0058651  0.         0.0058651
 0.         0.01466276 0.         0.01270772 0.         0.00684262
 0.         0.00097752 0.         0.01173021 0.         0.00097752
 0.         0.01368524 0.         0.03225806 0.         0.00488759
 0.         0.00391007 0.         0.01661779 0.         0.0058651
 0.         0.01368524 0.         0.00195503 0.         0.00684262
 0.         0.00488759 0.         0.01075269 0.         0.00488759
 0.         0.01368524 0.         0.00977517 0.         0.00097752
 0.         0.         0.         0.00488759 0.         0.
 0.         0.00097752 0.         0.00097752 0.         0.00195503
 0.         0.00391007 0.         0.00684262 0.         0.00488759
 0.         0.01661779 0.         0.00684262 0.         0.00488759
 0.         0.00391007 0.         0.00879765 0.         0.00293255
 0.         0.01173021 0.         0.00293255 0.         0.00195503
 0.         0.00488759 0.         0.02052786 0.         0.00195503]",0.08968719452590417,[]
20180912-140115,"[0.         0.01857283 0.         0.01955034 0.         0.00684262
 0.         0.0058651  0.         0.01661779 0.         0.00977517
 0.         0.01075269 0.         0.01857283 0.         0.00293255
 0.         0.00195503 0.         0.01075269 0.         0.00879765
 0.         0.00097752 0.         0.02052786 0.         0.00782014
 0.         0.00391007 0.         0.00097752 0.         0.00977517
 0.         0.00782014 0.         0.01564027 0.         0.00195503
 0.         0.0058651  0.         0.01368524 0.         0.00195503
 0.         0.00293255 0.         0.02248289 0.         0.00684262
 0.         0.02052786 0.         0.01173021 0.         0.0058651
 0.         0.00879765 0.         0.01564027 0.         0.01270772
 0.         0.00782014 0.         0.00977517 0.         0.0058651
 0.         0.00097752 0.         0.00977517 0.         0.00684262
 0.         0.00391007 0.         0.00195503 0.         0.00391007
 0.         0.00391007 0.         0.00293255 0.         0.00195503
 0.         0.00097752 0.         0.00293255 0.         0.00293255]",0.09897360703812313,[]
20180912-140117,"[0.         0.00195503 0.         0.0342131  0.         0.00782014
 0.         0.00391007 0.         0.00293255 0.         0.00782014
 0.         0.00684262 0.         0.01270772 0.         0.00195503
 0.         0.00293255 0.         0.00684262 0.         0.0058651
 0.         0.00977517 0.         0.02150538 0.         0.00782014
 0.         0.02346041 0.         0.00488759 0.         0.00684262
 0.         0.00684262 0.         0.00684262 0.         0.00195503
 0.         0.00684262 0.         0.00879765 0.         0.00684262
 0.         0.00977517 0.         0.02150538 0.         0.00684262
 0.         0.         0.         0.00097752 0.         0.00293255
 0.         0.00293255 0.         0.00391007 0.         0.00097752
 0.         0.00684262 0.         0.00097752 0.         0.00391007
 0.         0.00293255 0.         0.01759531 0.         0.00391007
 0.         0.00684262 0.         0.00391007 0.         0.01661779
 0.         0.0058651  0.         0.01173021 0.         0.00097752
 0.         0.00488759 0.         0.00293255 0.         0.00684262]",0.0887096774193548,[]
20180912-140119,"[0.         0.00879765 0.         0.01075269 0.         0.01368524
 0.         0.01955034 0.         0.0058651  0.         0.00977517
 0.         0.00782014 0.         0.00488759 0.         0.00293255
 0.         0.00977517 0.         0.01270772 0.         0.00879765
 0.         0.00293255 0.         0.00879765 0.         0.01466276
 0.         0.00684262 0.         0.0058651  0.         0.00488759
 0.         0.00782014 0.         0.00391007 0.         0.00195503
 0.         0.00977517 0.         0.00488759 0.         0.02052786
 0.         0.01173021 0.         0.00684262 0.         0.01173021
 0.         0.01075269 0.         0.00097752 0.         0.02346041
 0.         0.01857283 0.         0.01661779 0.         0.00782014
 0.         0.00097752 0.         0.01173021 0.         0.05083089
 0.         0.01173021 0.         0.0058651  0.         0.00684262
 0.         0.00879765 0.         0.00097752 0.         0.00488759
 0.         0.01857283 0.         0.01173021 0.         0.00097752
 0.         0.         0.         0.01173021 0.         0.03812317]",0.12512218963831864,[]
20180912-140122,"[0.         0.01759531 0.         0.00782014 0.         0.00782014
 0.         0.01270772 0.         0.00391007 0.         0.00684262
 0.         0.01857283 0.         0.01466276 0.         0.02150538
 0.         0.00391007 0.         0.01173021 0.         0.06647116
 0.         0.01955034 0.         0.01466276 0.         0.00684262
 0.         0.01857283 0.         0.00782014 0.         0.0058651
 0.         0.00977517 0.         0.00488759 0.         0.00097752
 0.         0.00488759 0.         0.0058651  0.         0.0342131
 0.         0.00391007 0.         0.01173021 0.         0.00684262
 0.         0.0058651  0.         0.00488759 0.         0.00293255
 0.         0.00488759 0.         0.00488759 0.         0.00097752
 0.         0.00488759 0.         0.0058651  0.         0.00879765
 0.         0.00195503 0.         0.00977517 0.         0.00782014
 0.         0.0058651  0.         0.00879765 0.         0.00782014
 0.         0.00684262 0.         0.00391007 0.         0.00097752
 0.         0.00391007 0.         0.00879765 0.         0.00195503]",0.11559139784946232,[]
20180912-140124,"[0.         0.00293255 0.         0.01759531 0.         0.00977517
 0.         0.00293255 0.         0.00782014 0.         0.00879765
 0.         0.00782014 0.         0.00488759 0.         0.00293255
 0.         0.00879765 0.         0.0058651  0.         0.01270772
 0.         0.00195503 0.         0.01075269 0.         0.01466276
 0.         0.         0.         0.00782014 0.         0.00879765
 0.         0.00782014 0.         0.01270772 0.         0.00293255
 0.         0.         0.         0.00488759 0.         0.00684262
 0.         0.00684262 0.         0.01368524 0.         0.02052786
 0.         0.00782014 0.         0.01173021 0.         0.00879765
 0.         0.01564027 0.         0.01759531 0.         0.01173021
 0.         0.01661779 0.         0.01661779 0.         0.00684262
 0.         0.00097752 0.         0.01368524 0.         0.0058651
 0.         0.         0.         0.01173021 0.         0.0058651
 0.         0.0058651  0.         0.00195503 0.         0.00293255
 0.         0.         0.         0.00391007 0.         0.00391007]",0.09579667644183769,[]
